"x"
"gamma"
"gamma"
"lognormal"
"weibull"
"gamma"
"gamma"
"lognormal"
"lognormal"
"weibull"
"weibull"
"lognormal"
"gamma"
"gamma"
"lognormal"
"lognormal"
"weibull"
"weibull"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"gamma"
"weibull"
"lognormal"
"gamma"
"weibull"
"gamma"
"lognormal"
"weibull"
"lognormal"
"gamma"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"lognormal"
"gamma"
"weibull"
"weibull"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"lognormal"
"lognormal"
"weibull"
"weibull"
"lognormal"
"normal"
"gamma"
"weibull"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"weibull"
"gamma"
"lognormal"
"gamma"
"gamma"
"lognormal"
"weibull"
"lognormal"
"normal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"gamma"
"lognormal"
"weibull"
"weibull"
"weibull"
"gamma"
"gamma"
"gamma"
"normal"
"normal"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"gamma"
"logistic"
"lognormal"
"lognormal"
"weibull"
"gamma"
"gamma"
"gamma"
"lognormal"
"weibull"
"weibull"
"lognormal"
"lognormal"
"gamma"
"weibull"
"weibull"
"gamma"
"weibull"
"gamma"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"lognormal"
"weibull"
"gamma"
"gamma"
"weibull"
"weibull"
"lognormal"
"weibull"
"normal"
"gamma"
"lognormal"
"lognormal"
"weibull"
"weibull"
"lognormal"
"gamma"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"gamma"
"weibull"
"gamma"
"lognormal"
"weibull"
"gamma"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"weibull"
"gamma"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"gamma"
"gamma"
"weibull"
"weibull"
"weibull"
"weibull"
"gamma"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"cauchy"
"gamma"
"lognormal"
"lognormal"
"weibull"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"normal"
"gamma"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"lognormal"
"gamma"
"weibull"
"gamma"
"gamma"
"lognormal"
"gamma"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"gamma"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"normal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"weibull"
"normal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"weibull"
"normal"
"lognormal"
"lognormal"
"weibull"
"gamma"
"lognormal"
"gamma"
"gamma"
"gamma"
"gamma"
"weibull"
"weibull"
"lognormal"
"lognormal"
"gamma"
"gamma"
"weibull"
"gamma"
"lognormal"
"weibull"
"cauchy"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"gamma"
"gamma"
"gamma"
"lognormal"
"lognormal"
"gamma"
"weibull"
"gamma"
"gamma"
"gamma"
"weibull"
"lognormal"
"lognormal"
"gamma"
"weibull"
"weibull"
"lognormal"
"gamma"
"lognormal"
"gamma"
"gamma"
"gamma"
"weibull"
"weibull"
"gamma"
"weibull"
"weibull"
"gamma"
"lognormal"
"gamma"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"weibull"
"normal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"negative binomial"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"weibull"
"lognormal"
"weibull"
"lognormal"
"gamma"
"gamma"
"gamma"
"gamma"
"lognormal"
"lognormal"
"gamma"
"weibull"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"gamma"
"weibull"
"lognormal"
"lognormal"
"gamma"
"weibull"
"gamma"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"weibull"
"weibull"
"lognormal"
"gamma"
"lognormal"
"gamma"
"gamma"
"weibull"
"weibull"
"gamma"
"lognormal"
"gamma"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"weibull"
"gamma"
"gamma"
"gamma"
"weibull"
"gamma"
"lognormal"
"gamma"
"weibull"
"lognormal"
"gamma"
"lognormal"
"gamma"
"t"
"weibull"
"gamma"
"gamma"
"lognormal"
"weibull"
"gamma"
"lognormal"
"lognormal"
"weibull"
"gamma"
"weibull"
"gamma"
"gamma"
"gamma"
"gamma"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"gamma"
"weibull"
"lognormal"
"gamma"
"gamma"
"lognormal"
"gamma"
"weibull"
"lognormal"
"gamma"
"weibull"
"lognormal"
"weibull"
"weibull"
"lognormal"
"weibull"
"weibull"
"weibull"
"weibull"
"gamma"
"gamma"
"gamma"
"gamma"
"lognormal"
"lognormal"
"weibull"
"normal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"gamma"
"lognormal"
"lognormal"
"weibull"
"gamma"
"lognormal"
"gamma"
"weibull"
"lognormal"
"lognormal"
"weibull"
"weibull"
"gamma"
"gamma"
"weibull"
"normal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"normal"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"gamma"
"gamma"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"weibull"
"lognormal"
"lognormal"
"cauchy"
"gamma"
"lognormal"
"weibull"
"lognormal"
"weibull"
"lognormal"
"gamma"
"lognormal"
"gamma"
"cauchy"
"lognormal"
"weibull"
"gamma"
"weibull"
"lognormal"
"weibull"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"weibull"
"lognormal"
"weibull"
"gamma"
"weibull"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"weibull"
"weibull"
"lognormal"
"gamma"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"lognormal"
"lognormal"
"gamma"
"lognormal"
"weibull"
"lognormal"
"lognormal"
"lognormal"
"lognormal"
"weibull"
"lognormal"
"weibull"
"lognormal"
"gamma"
"cauchy"
"lognormal"
"lognormal"
"lognormal"
"gamma"
